map,aStar,thetaStar,aStarOldNM,thetaStarOldNM,aStarNewNM,thetaStarNewNM,flowField
cave small CPP 1 time.json,3.2,0.9,0.7,0.7,0.9,2.8,1.6
cave small CPP 100 times.json,2.1,0.8,0.7,0.7,0.5,0.5,1.4
cave small JS 1 time.json,18.8,2.6,2.9,1.7,1.4,1.1,4.2
cave small JS 100 times.json,1.5,1,1.2,1.2,1,0.9,1.4
cave medium CPP 1 time.json,65.8,42.9,16.9,12.2,16.5,11.3,35.9
cave medium CPP 100 times.json,59.7,34.1,12.3,11,12.4,10.4,37.6
cave medium JS 1 time.json,106.8,55.6,18.3,14.9,21.3,15.1,54.3
cave medium JS 100 times.json,77.1,42,18.9,14.6,21.8,13.6,45.9
